title,director,cast,country,date_added,release_year,rating,listed_in,description,duration_in_minutes
Azhar,"Anthony D'Souza","Emraan Hashmi, Prachi Desai, Nargis Fakhri, Lara Dutta, Kunaal Roy Kapur, Gautam Gulati, Anikie Maguire, Kulbhushan Kharbanda, Rajesh Sharma, Shernaz Patel, Veerendra Saxena",India,"2019-04-12 00:00:00",2016,TV-14,"Dramas, International Movies, Sports Movies","This biopic traces the tumultuous life and career of top cricket player Mohammad Azharuddin, who led India's national team in the 1990s.",129
"Aziz Ansari Live at Madison Square Garden","Aziz Ansari","Aziz Ansari","United States","2015-03-06 00:00:00",2015,TV-MA,"Stand-Up Comedy","Stand-up comedian and TV star Aziz Ansari ("Parks and Recreation") delivers his sharp-witted take on immigrants, relationships and the food industry.",58
"Aziz Ansari: Buried Alive","Will Lovelace, Dylan Southern","Aziz Ansari","United States","2013-11-01 00:00:00",2013,TV-MA,"Stand-Up Comedy",""Parks and Recreation" star Aziz Ansari takes the stage to share his unfiltered views on adulthood, babies, marriage, love and more in the modern era.",80
"Aziz Ansari: RIGHT NOW","Spike Jonze","Aziz Ansari","United States","2019-07-09 00:00:00",2019,TV-MA,"Stand-Up Comedy","In a comedy special directed by Spike Jonze, Aziz Ansari shares deep personal insights and hilarious takes on wokeness, family and the social climate.",65
"B.A. Pass","Ajay Bahl","Shadab Kamal, Shilpa Shukla, Rajesh Sharma, Dibyendu Bhattacharya, Vijay Kaushik, Anula Navlekar, Happy Ranjit, Raveena Singh, Padam Mishra",India,"2018-06-07 00:00:00",2013,TV-14,"Dramas, Independent Movies, International Movies","Orphaned and at loose ends, young Mukesh falls into the seductive orbit of married Sarika, who leads him ever deeper into a world of sex and betrayal.",99
"B.A. Pass 2","Shadab Khan","Kritika Sachdeva, Sasho, Sanghmitra Hitaishi, Indraneil Sengupta, Saurabh Dubey, Shubhangi Latkar, Sukhbir Kaur Lamba, Arav Chowdharry",India,"2018-06-01 00:00:00",2017,TV-14,"Dramas, International Movies","A young woman eager to avoid an arranged marriage moves to Mumbai, where she learns hard truths about show business, life and love.",126
Baadshaho,"Milan Luthria","Ajay Devgn, Emraan Hashmi, Vidyut Jamwal, Ileana D'Cruz, Esha Gupta, Sanjay Mishra, Sunny Leone, Sharad Kelkar, Priyanshu Chatterjee, Denzil Smith",India,"2017-10-16 00:00:00",2017,TV-14,"Action & Adventure, International Movies","In 1975, during the government-declared Emergency, thief Bhawani and his crew plan a daring robbery to reclaim his royal lover's seized treasures.",135
Baaghi,"Sabir Khan","Tiger Shroff, Shraddha Kapoor, Sudheer Babu, Paras Arora, Sunil Grover, Sourav Chakraborty, Shaurya Bhardawaj",India,"2018-08-04 00:00:00",2016,TV-14,"Action & Adventure, International Movies","A martial artist faces his biggest test when he has to travel to Bangkok to rescue the woman he loves from the clutches of his romantic rival.",127
"Baahubali 2: The Conclusion (Hindi Version)","S.S. Rajamouli","Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia, Sathyaraj, Ramya Krishnan, Nassar, Subbaraju",India,"2017-08-07 00:00:00",2017,TV-MA,"Action & Adventure, Dramas, International Movies","To avenge his father's death, a young man leads an army into battle against a cruel tyrant in this Hindi conclusion to the historic saga.",165
"Baahubali 2: The Conclusion (Malayalam Version)","S.S. Rajamouli","Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia, Sathyaraj, Ramya Krishnan, Nassar, Subbaraju",NULL,"2017-08-07 00:00:00",2017,TV-14,"Action & Adventure, Dramas, International Movies","To avenge his father's death, a young man leads an army into battle against a cruel tyrant in this Malayalam conclusion to the historic saga.",166
"Baahubali 2: The Conclusion (Tamil Version)","S.S. Rajamouli","Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia, Sathyaraj, Ramya Krishnan, Nassar, Subbaraju",NULL,"2017-08-07 00:00:00",2017,TV-MA,"Action & Adventure, Dramas, International Movies","To avenge his father's death, a young man leads an army into battle against a cruel tyrant in this Tamil conclusion to the historic saga.",166
"Baahubali: The Beginning (English Version)","S.S. Rajamouli","Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia, Sathyaraj, Nassar, Ramya Krishnan, Sudeep",NULL,"2018-10-24 00:00:00",2015,TV-14,"Action & Adventure, Dramas, International Movies","Villagers in the kingdom of Mahismati rescue a baby who is destined to embark on a heroic quest in this English version of S.S. Rajamouli's epic.",138
"Baahubali: The Beginning (Hindi Version)","S.S. Rajamouli","Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia, Sathyaraj, Nassar, Ramya Krishnan, Sudeep",India,"2017-08-07 00:00:00",2015,TV-14,"Action & Adventure, Dramas, International Movies","Villagers in the kingdom of Mahismati rescue a baby who is destined to embark on a heroic quest in this Hindi version of S.S. Rajamouli's epic.",159
"Baahubali: The Beginning (Malayalam Version)","S.S. Rajamouli","Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia, Sathyaraj, Nassar, Ramya Krishnan, Sudeep",NULL,"2017-08-07 00:00:00",2015,TV-14,"Action & Adventure, Dramas, International Movies","Villagers in the kingdom of Mahismati rescue a baby who is destined to embark on a heroic quest in this Malayalam version of S.S. Rajamouli's epic.",160
"Baahubali: The Beginning (Tamil Version)","S.S. Rajamouli","Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia, Sathyaraj, Nassar, Ramya Krishnan, Sudeep",NULL,"2017-08-07 00:00:00",2015,TV-14,"Action & Adventure, Dramas, International Movies","Villagers in the kingdom of Mahismati rescue a baby who is destined to embark on a heroic quest in this Tamil version of S.S. Rajamouli's epic.",159
Baazaar,"Gauravv K Chawla","Saif Ali Khan, Chitrangada Singh, Radhika Apte, Rohan Vinod Mehra, Manish Chaudhary, Denzil Smith, Pawan Chopra, Deepak Gheewala, Utkarsh Mazumdar, Danish Hussain",India,"2019-01-13 00:00:00",2018,TV-MA,"Dramas, International Movies","A wide-eyed graduate learns the ugly side of ambition when he joins in the dubious business practices of his idol, a ruthless Mumbai stock tycoon.",136
"Babam ve Oğlum","Çagan Irmak","Çetin Tekindor, Fikret Kuşkan, Hümeyra, Ege Tanman, Şerif Sezer, Yetkin Dikinciler, Binnur Kaya, Mahmut Gökgöz, Nergis Çorakçi, Bilge Sen",Turkey,"2018-04-30 00:00:00",2005,TV-14,"Dramas, International Movies","Following Turkey's bloody coup of 1980, a widowed reporter returns to his Aegean hometown, bringing his son and a last wish for his estranged father.",112
"Babamın Ceketi","Müfit Can Saçıntı","Müfit Can Saçıntı, Mert Turak, Ünal Yeter, Elif Nur Kerkük, Uğur Demirpehlivan, Ayşen Gruda, Erkan Can, Banu Manioğlu",Turkey,"2020-04-17 00:00:00",2018,TV-MA,"Comedies, International Movies","Facing pressure to marry immediately, an unemployed man must find a way to pay for a wedding by any means necessary.",101
Babel,"Alejandro G. Iñárritu","Brad Pitt, Cate Blanchett, Gael García Bernal, Koji Yakusho, Adriana Barraza, Rinko Kikuchi, Said Tarchani, Boubker Ait El Caid, Elle Fanning, Nathan Gamble, Mohamed Akhzam","France, United States, Mexico","2019-01-01 00:00:00",2006,R,"Dramas, Independent Movies","When an American couple vacationing in Morocco falls victim to a random act of violence, a series of events unfolds across four countries.",143
"Baby Dolls","Vijay Kumar Arora","Nirmal Rishi, Sonam Bajwa, Sukhwinder Chahal, Tania, Gurnam Bhullar",India,"2019-12-01 00:00:00",2019,TV-PG,"Comedies, International Movies, Romantic Movies","When two sisters travel from Canada to Punjab to visit their maternal family, they discover an opportunity to mend a broken bond with their grandmother.",127
"Baby Mamas","Stephanie Zwane","Salamina Mosese, Kay Smith, Thembisa Mdoda, Dineo Ranaka, Sthembiso Khoza, Khaya Mthembu, Jonathan Boynton-Lee, Nicholas Nkuna, Donovan Pietersen, Pamela Nomvete","South Africa","2020-03-13 00:00:00",2018,TV-14,"Comedies, Dramas, International Movies","From surprise news to relationship blues, four coworkers in different stages of motherhood unite to support each other in their struggles with men.",98
"Bachelor Girls","Shikha Makan",NULL,India,"2018-03-01 00:00:00",2016,TV-MA,"Documentaries, International Movies","Through intimate interviews, this documentary explores the stigma facing independent women who seek housing in modern Mumbai.",61
"Back and Forth","José Eduardo Belmonte","Ingrid Guimarães, Fábio Assunção, Alice Braga, Rosanne Mulholland, Caroline Abras, João Assunção",Brazil,"2017-01-05 00:00:00",2016,NR,"Comedies, Dramas, International Movies","When their car breaks down en route to São Paulo, a father and son accept a ride from four beautiful telemarketers who are headed there on holiday.",95
"Back of the Net","Louise Alston","Sofia Wylie, Tiarnie Coupland, Trae Robin, Gemma Chua-Tran, Ashleigh Ross, Yasmin Honeychurch, Raj Labade, Christopher Kirby, Melissa Bonne, Kate Box",Australia,"2019-12-21 00:00:00",2019,TV-Y,"Children & Family Movies, Sports Movies","An American science geek ready to spend a summer at sea accidentally ends up at an Australian soccer academy and is forced to kick it with the locals.",86
"Back to School","Rémy Four, Julien War","Ludovik, Jérôme Niel, Nicolas Berno, Johann Dionnet, Caroline Anglade, Joséphine Draï, Pauline Deshons, Marc Riso, Romain Lancry, Nicolas Lumbreras, Claire Tran, Pitcho Womba Konga",NULL,"2019-08-30 00:00:00",2019,TV-MA,"Comedies, International Movies","Eager to flaunt their success in front of old bullies and teenage crushes, two best friends spend a wild night at their middle school reunion.",84
"Back to the 90s","Yanyong Kuruaungkoul","Dan Aaron Ramnarong, Pimchanok Leuwisetpaiboon, Chanintorn Jitpreeda, Chonlakarn Puangnoy, Achita Pramoj Na Ayudhya, Vichuda Pindum, Kriengsak Hrientong, Likit Sittiphun",Thailand,"2019-01-01 00:00:00",2015,TV-14,"Comedies, International Movies, Music & Musicals","When a teenager is transported back to his parents’ high school days, he has the chance to alter the events that led to their unhappy marriage.",111
Backcountry,"Adam MacDonald","Missy Peregrym, Jeff Roop, Eric Balfour, Nicholas Campbell",Canada,"2017-03-30 00:00:00",2014,NR,"Horror Movies, Independent Movies, Thrillers","A weekend hike for urbanites Alex and Jenn takes a dangerous turn when they become lost deep in the remote territory of a menacing bear.",92
"Backdraft 2","Gonzalo López-Gallego","Joe Anderson, William Baldwin, Donald Sutherland, Alisha Bailey, Alastair Mackenzie, Dominic Mafham, Jessamine-Bliss Bell, Martin Hutson, Aaron McCusker, Cyril Nri","United States","2019-05-14 00:00:00",2019,R,"Action & Adventure, Dramas","In this sequel to the 1991 film, a determined fire investigator recruits an imprisoned arsonist to help untangle a web of fire, murder and corruption.",102
Backfire,"Dave Patten","Black Deniro, Byron "Squally" Vinson, Dominic Costa, Nick Ferraro, Peter Ferriero, Jowharah Jones","United States","2019-04-05 00:00:00",2019,TV-MA,"Dramas, Independent Movies, Thrillers","When two would-be robbers accidentally kill a made man, they find themselves on the run from the South Philly Italian mob.",97
Backtrack,"Michael Petroni","Adrien Brody, Sam Neill, Robin McLeavy, Bruce Spence, Jenni Baird, Chloe Bayliss, Anna Lise Phillips, George Shevtsov","Australia, United Kingdom, United Arab Emirates, Canada","2018-12-25 00:00:00",2015,R,"Dramas, Thrillers","Haunted by visions of the dead, psychologist Peter returns home to confront a long-ago trauma. But will the trip exorcise or embolden the ghosts?",90
"Bad Boys","Michael Bay","Will Smith, Martin Lawrence, Téa Leoni, Tchéky Karyo, Theresa Randle, Joe Pantoliano, Emmanuel Xuereb, Michael Imperioli, Nestor Serrano, Julio Oscar Mechoso","United States","2019-10-01 00:00:00",1995,R,"Action & Adventure, Comedies","In this fast-paced actioner, two Miami narcotics cops are hot on the trail of a master crook who has snatched $100 million worth of heroin.",119
"Bad Boys II","Michael Bay","Will Smith, Martin Lawrence, Jordi Mollà, Gabrielle Union, Peter Stormare, Theresa Randle, Joe Pantoliano, Michael Shannon, Jon Seda, Yul Vazquez","United States","2019-10-01 00:00:00",2003,R,"Action & Adventure, Comedies","In this hyperkinetic sequel, a pair of Miami narcotics cops investigate a Cuban drug kingpin's connection to Florida's influx of Ecstasy.",147
"Bad Day for the Cut","Chris Baugh","Nigel O'Neill, Susan Lynch, Józef Pawlowski, Stuart Graham, David Pearse, Brian Milligan, Anna Prochniak, Stella McCusker, Ian McElhinney, Lalor Roddy","United Kingdom","2018-01-18 00:00:00",2017,TV-MA,"Independent Movies, International Movies, Thrillers","A mild-mannered, middle-aged Irish farmer devoted to his mother embarks on a violent quest for revenge when she's murdered in a home invasion.",99
"Bad Genius","Nattawut Poonpiriya","Chutimon Chuengcharoensukying, Chanon Santinatornkul, Teeradon Supapunpinyo, Eisaya Hosuwan, Thaneth Warakulnukroh, Sarinrat Thomas, Ego Mikitas, Pasin Kuansataporn, Sahajak Boonthanakit, Kanjana Vinaipanid",Thailand,"2018-06-01 00:00:00",2017,TV-MA,"Dramas, International Movies, Thrillers","A top student gets pulled into a cheating racket with increasingly higher risks and even higher rewards. But she may lose much more than she gains.",130
"Bad Grandpa .5","Jeff Tremaine","Johnny Knoxville, Jackson Nicoll, Greg Harris, Georgina Cates, Kamber Hejlik, Jill Killington, Madison Davis, George Faughnan, Spike Jonze, Catherine Keener","United States","2021-01-01 00:00:00",2014,TV-MA,Comedies,"The geriatric antics of Irving Zisman continue in this next installment of the Jackass franchise, which features unused footage from the first film.",87
"Bad Match","David Chirchirillo","Jack Cutmore-Scott, Lili Simmons, Brandon Scott, Chase Williamson, Noureen DeWulf, Seth Morris, Christine Donlon, Trent Haaga, Kahyun Kim, Cynthia Rose Hall, Zedrick Restauro, Eric Podnar","Singapore, United States","2018-03-11 00:00:00",2017,TV-MA,Thrillers,"A player who uses the internet to facilitate his womanizing ways is tormented when he spurns a persistent woman who won't take no for an answer.",83
"Bad Rap","Salima Koroma","Jonathan Park, Awkwafina, David Lee, Richard Lee","United States, Canada","2017-08-21 00:00:00",2016,TV-MA,"Documentaries, Music & Musicals","Four young Asian-American rappers strive to achieve success on their own terms in a musical genre that often treats them as outsiders.",83
"Bad Seeds",Kheiron,"Kheiron, Catherine Deneuve, André Dussollier, Louison Blivet, Adil Dehbi, Hakou Benosmane, Youssouff Wague, Mahia Zrouki, Joseph Jovanovic","France, Belgium","2018-12-21 00:00:00",2018,TV-MA,"Comedies, Dramas, International Movies","Troubled by his past, a scam artist who runs a petty racket with his adoptive mom finds redemption while mentoring a group of difficult students.",105
Badha,"Sumitra Bhave, Sunil Sukthankar","Amruta Subhash, Rajesh More, Devika Daftardar, Renuka Daftardar, Uttara Baokar, Jyoti Subhash, Milind Shinde, Sachin Mondkar",India,"2018-01-01 00:00:00",2006,TV-14,"Dramas, International Movies","A young woman who is suspected of practicing black magic and witchcraft is demonized and forced to live apart from her family.",91
Badla,"Sujoy Ghosh","Amitabh Bachchan, Taapsee Pannu, Amrita Singh, Tony Luke, Manav Kaul",India,"2019-08-07 00:00:00",2019,TV-14,"International Movies, Thrillers","When a woman is accused of killing her lover, a renowned lawyer is hired – but the more they try to  untangle the truth, the more convoluted it becomes.",117
